Source Destination StartTime EndTime Duration
0 1 1229286900 1229291520 4620
0 1 1229272800 1229277300 4500
0 2 1229285640 1229291520 5880
0 3 1229268060 1229276040 7980
0 3 1229284740 1229293140 8400
0 3 1229249760 1229258100 8340
0 2 1229256120 1229262060 5940
0 4 1229269020 1229277480 8460
0 4 1229285100 1229293440 8340
0 4 1229245200 1229253960 8760
0 5 1229282220 1229289000 6780
0 5 1229267520 1229274240 6720
6 7 1229254200 1229257500 3300
6 7 1229248200 1229251200 3000
6 7 1229250900 1229254200 3300
6 7 1229261700 1229265000 3300
6 7 1229278800 1229282100 3300
6 7 1229266800 1229270100 3300
6 7 1229291100 1229294400 3300
8 9 1229304000 1229307300 3300
8 10 1229283000 1229295900 12900
8 11 1229283000 1229289000 6000
8 11 1229291100 1229296800 5700
8 11 1229271000 1229277000 6000
8 11 1229302500 1229308200 5700
8 11 1229277000 1229282700 5700
8 11 1229263500 1229268900 5400
8 11 1229297400 1229303100 5700
8 12 1229257500 1229262300 4800
8 12 1229269200 1229273700 4500
8 12 1229293500 1229298000 4500
8 12 1229283000 1229287500 4500
8 13 1229262600 1229265600 3000
8 13 1229298600 1229301900 3300
8 14 1229302500 1229309400 6900
8 14 1229276400 1229283600 7200
8 15 1229305200 1229310900 5700
8 15 1229256300 1229261700 5400
8 15 1229278500 1229284200 5700
8 15 1229287200 1229292900 5700
8 15 1229297100 1229302800 5700
8 15 1229271300 1229277000 5700
8 15 1229262000 1229268000 6000
8 16 1229272800 1229280300 7500
8 16 1229285400 1229292900 7500
8 16 1229306400 1229313900 7500
8 17 1229276400 1229279700 3300
8 18 1229299200 1229302800 3600
8 19 1229301600 1229308200 6600
8 20 1229267400 1229279700 12300
8 20 1229287800 1229299800 12000
8 21 1229289000 1229298600 9600
8 21 1229258700 1229268300 9600
8 22 1229277900 1229287200 9300
8 22 1229301300 1229310900 9600
8 23 1229288100 1229299200 11100
8 24 1229286900 1229291400 4500
8 24 1229293500 1229298300 4800
8 24 1229299500 1229304000 4500
8 24 1229259900 1229264700 4800
8 24 1229262900 1229268000 5100
8 24 1229281500 1229286000 4500
8 24 1229308500 1229313000 4500
8 24 1229274600 1229279100 4500
8 24 1229270400 1229274900 4500
8 25 1229292600 1229299500 6900
8 25 1229279100 1229286000 6900
8 26 1229298900 1229310600 11700
8 27 1229259000 1229264700 5700
8 27 1229300400 1229306400 6000
8 28 1229260800 1229268900 8100
8 29 1229271600 1229283300 11700
8 30 1229267100 1229271300 4200
8 30 1229290800 1229294700 3900
8 31 1229290200 1229297520 7320
8 31 1229283000 1229290440 7440
8 31 1229269200 1229276700 7500
8 31 1229253300 1229260800 7500
8 31 1229259300 1229266800 7500
8 24 1229275140 1229279700 4560
8 24 1229286600 1229291220 4620
8 27 1229269620 1229275620 6000
8 27 1229277780 1229283780 6000
8 27 1229256300 1229262840 6540
8 27 1229298300 1229304600 6300
8 27 1229292000 1229298000 6000
8 12 1229266680 1229271360 4680
8 32 1229252520 1229262300 9780
8 16 1229287620 1229295180 7560
8 16 1229302320 1229309880 7560
8 12 1229300040 1229304660 4620
8 12 1229278500 1229283060 4560
8 12 1229291400 1229296200 4800
8 12 1229258640 1229263740 5100
8 33 1229266620 1229279400 12780
8 24 1229298000 1229303340 5340
8 24 1229262600 1229268180 5580
8 4 1229259900 1229270340 10440
8 4 1229279700 1229290320 10620
8 12 1229292000 1229296740 4740
8 12 1229267700 1229272140 4440
8 12 1229260500 1229265060 4560
8 3 1229259600 1229269200 9600
8 3 1229277600 1229287200 9600
8 34 1229281320 1229290620 9300
8 7 1229263500 1229269500 6000
8 7 1229292300 1229298600 6300
8 7 1229273700 1229279700 6000
8 7 1229268000 1229274000 6000
8 7 1229281800 1229287800 6000
8 7 1229288100 1229294100 6000
8 7 1229256600 1229262900 6300
8 7 1229252400 1229258400 6000
8 31 1229278800 1229286480 7680
35 4 1229248800 1229251740 2940
35 4 1229264400 1229267700 3300
35 4 1229286600 1229290020 3420
36 7 1229268300 1229271000 2700
36 7 1229248800 1229251500 2700
36 7 1229291100 1229293800 2700
36 7 1229283000 1229285700 2700
37 27 1229257200 1229263800 6600
37 27 1229280900 1229287500 6600
37 32 1229293200 1229297760 4560
37 32 1229272380 1229277240 4860
37 32 1229282640 1229287500 4860
37 32 1229259600 1229264460 4860
37 32 1229264520 1229269380 4860
37 38 1229306400 1229310300 3900
37 39 1229263200 1229265240 2040
37 32 1229300940 1229305500 4560
40 41 1229303700 1229313660 9960
42 41 1229270160 1229273400 3240
43 31 1229254200 1229257500 3300
